authority,code,count,website,data,notes
Aberdeen City,S12000033,0,,,
Aberdeenshire,S12000034,3,https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries,,
Anglesey,W06000001,1,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/mobile-library-service,,
Angus,S12000041,2,https://www.angus.gov.uk/directories/libraries/mobile_library,,
Argyll and Bute,S12000035,1,http://www.liveargyll.co.uk/library/islay-mobile-library,,
Barking and Dagenham,E09000002,0,,,
Barnet,E09000003,1,https://www.barnet.gov.uk/citizen-home/libraries/mobile-library.html,,
Barnsley,E08000016,0,,,
Bath and North East Somerset,E06000022,1,http://www.bathnes.gov.uk/services/libraries-and-archives/library-outreach-services-and-access-all/mobile-library,,
Bedford,E06000055,1,http://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/mobile_libraries.htm,,
Bexley,E09000004,0,,,
Birmingham,E08000025,1,https://www.birmingham.gov.uk/mobile-library,,
Blackburn with Darwen,E06000008,0,,,
Blackpool,E06000009,0,,,
Blaenau Gwent,W06000019,0,,,
Bolton,E08000001,0,,,
Bournemouth,E06000028,0,,,
Bracknell Forest,E06000036,0,,,
Bradford,E08000032,0,,,
Brent,E09000005,0,,,
Bridgend,W06000013,1,http://www.awen-libraries.com/mobile-library,,
Brighton and Hove,E06000043,0,,,
Bristol,E06000023,0,,,
Bromley,E09000006,0,,,
Buckinghamshire,E10000002,0,,,
Bury,E08000002,0,,,
Caerphilly,W06000018,0,,,
Calderdale,E08000033,0,,,
Cambridgeshire,E10000003,3,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles,,
Camden,E09000007,0,,,
Cardiff,W06000015,1,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Other-library-services/Pages/Other-Library-Services.aspx#anchor_6,,
Carmarthenshire,W06000010,1,https://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/mobile-libraries,,
Central Bedfordshire,E06000056,0,,,
Ceredigion,W06000008,3,http://libraries.ceredigion.gov.uk/iguana/www.main.cls?p=344a9a15-6c22-4dae-a0a5-09f9fd22308e&v=dab664d1-8ea2-46c7-99ce-f428dc758b19,,
Cheshire East,E06000049,1,https://www.cheshireeast.gov.uk/libraries/nearest_library/mobile_library_routes.aspx,,
Cheshire West and Chester,E06000050,1,https://www.cheshirewestandchester.gov.uk/residents/libraries/find-a-library/mobile-library-service.aspx,,
City of London,E09000001,0,,,
Clackmannanshire,S12000005,0,,,
Conwy,W06000003,1,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Mobile-and-home-library-services.aspx,,
Cornwall,E06000052,1,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/mobile-library-service,,
Coventry,E08000026,0,,,
Croydon,E09000008,0,,,
Cumbria,E10000006,0,,,
Darlington,E06000005,0,,,
Denbighshire,W06000004,0,,,
Derby City,E06000015,0,,,
Derbyshire,E10000007,2,https://www.derbyshire.gov.uk/leisure/libraries/services/mobile-libraries/mobile-libraries.aspx,,
