Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
A,Wrington,Broad Street,"Broad Street, Wrington",346868.9252,162820.4224,2017-01-30,Monday,1,10:00,11:00,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
B,Claverham,Chestnut Drive,"Chestnut Drive, Claverham",344624.2238,166220.2192,2017-02-06,Monday,2,11:15,11:45,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
B,Cleeve,Woodview,"Woodview, Cleeve",345489.7903,165672.596,2017-02-06,Monday,2,11:50,12:20,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
A,Backwell,Rodney Road Car Park,"Rodney Road Car Park, Backwell",348489.5827,168485.4708,2017-01-30,Monday,1,14:00,15:00,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
A,Backwell,Leisure Centre Car Park,"Leisure Centre Car Park, Backwell",348857.5597,168765.8305,2017-01-30,Monday,1,15:05,16:05,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
A,Tickenham,Village Hall,"Village Hall, Tickenham",345232.9897,171853.0368,2017-01-30,Monday,2,11:35,12:00,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
A,Failand,Woodland Way,"Woodland Way, Failand",351919.3302,171538.147,2017-01-30,Monday,2,12:15,12:40,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
C,Langford,Old Post Office,"Old Post Office, Langford",346378.0802,160681.8845,2017-02-07,Tuesday,2,10:00,11:00,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
C,Burrington,The Square,"The Square, Burrington",347927.8961,159363.352,2017-02-07,Tuesday,2,11:10,11:55,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
C,Rickford,Waterfall,"Waterfall, Rickford",348707.3759,159261.851,2017-02-07,Tuesday,2,12:00,12:30,http://www.n-somerset.gov.uk/wp-content/uploads/2015/12/mobile-library-timetable-March-August-2016.pdf
