Mobile,Route,Community,Stopping Place,From,To,Day,Date,Frequency
A,1,Ab Kettleby,School,10.00,10.45,Monday,02-Oct-17,Monthly
A,1,Wartnaby,Village Centre,10.55,11.10,Monday,02-Oct-17,Monthly
A,1,Nether Broughton,Blacksmiths Close,11.20,11.40,Monday,02-Oct-17,Monthly
A,1,Holwell,Old Chapel,11.50,12.00,Monday,02-Oct-17,Monthly
A,1,Scalford,Village Centre,12.45,13.05,Monday,02-Oct-17,Monthly
A,1,Long Clawson,The Sands,13.25,13.55,Monday,02-Oct-17,Monthly
A,1,Hose,Coal Lane,14.05,14.25,Monday,02-Oct-17,Monthly
A,1,Hose,School,14.30,15.30,Monday,02-Oct-17,Monthly
A,2,Melton,Springfield Street,9.25,9.35,Wednesday,04-Oct-17,Monthly
A,2,Asfordby Hill,School,9.45,10.30,Wednesday,04-Oct-17,Monthly
A,2,Asfordby,Burnaby Place,10.40,11.00,Wednesday,04-Oct-17,Monthly
A,2,Asfordby,Chadwell Close,11.05,11.25,Wednesday,04-Oct-17,Monthly
A,2,Asfordby,Bradgate Flats,11.30,12.30,Wednesday,04-Oct-17,Monthly
A,2,Asfordby,Captains Close School,13.40,14.40,Wednesday,04-Oct-17,Monthly
A,2,Asfordby,12 Saxelby Road,14.45,15.00,Wednesday,04-Oct-17,Monthly
A,2,Asfordby Valley,Main Road,15.05,15.15,Wednesday,04-Oct-17,Monthly
A,3,Saxelby,Bus Stop,9.30,9.45,Thursday,05-Oct-17,Monthly
A,3,Grimston,Memorial Cross,9.55,10.10,Thursday,05-Oct-17,Monthly
A,3,Old Dalby,School,10.20,10.35,Thursday,05-Oct-17,Monthly
A,3,Old Dalby,Main Street,10.40,10.55,Thursday,05-Oct-17,Monthly
A,3,Old Dalby,Queensway no. 37,11.00,11.30,Thursday,05-Oct-17,Monthly
A,3,Ragdale,Phone Box,11.50,12.00,Thursday,05-Oct-17,Monthly
A,3,Hoby,Village Hall,12.10,12.25,Thursday,05-Oct-17,Monthly
A,3,Thrussington,School,13.45,13.55,Thursday,05-Oct-17,Monthly
A,3,Ratcliffe,Post Box,14.05,14.15,Thursday,05-Oct-17,Monthly
