Mobile,Route,Community,Stop,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
North,Monday Week 3,Spirthill,Naish House Farm,"Naish House Farm, Spirthill",2017-11-27,Monday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Friday Week 4,Stanton St Bernard,Village Hall,"Village Hall, Stanton St Bernard",2017-11-10,Friday,4,15:40,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Tuesday Week 4,Stanton St Quintin,School,"School, Stanton St Quintin",2017-11-07,Tuesday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Friday Week 3,Startley,Near Greystones,"Near Greystones, Startley",2017-12-01,Friday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Wednesday Week 2,Steeple Ashton,Longs Arms pub (fortnightly stop),"Longs Arms pub (fortnightly stop), Steeple Ashton",2017-11-22,Wednesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Steeple Ashton,Longs Arms pub (fortnightly stop),"Longs Arms pub (fortnightly stop), Steeple Ashton",2017-11-08,Wednesday,4,11:15,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Wednesday Week 2,Steeple Ashton,St Marys,"St Marys, Steeple Ashton",2017-11-22,Wednesday,4,10:45,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
South,Tuesday Week 4,Steeple Langford,The Old School,"The Old School, Steeple Langford",2017-11-07,Tuesday,4,10:50,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Monday Week 3,Stockley,Telephone box,"Telephone box, Stockley",2017-11-27,Monday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Wednesday Week 1,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2017-11-15,Wednesday,4,11:00,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
North,Thursday Week 1,Sutton Benger,Bell Piece,"Bell Piece, Sutton Benger",2017-11-16,Thursday,4,14:55,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 4,Sutton Veny,School,"School, Sutton Veny",2017-11-10,Friday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
South,Tuesday Week 4,Teffont,Lay-by opposite Frith’s Barn,"Lay-by opposite Frith’s Barn, Teffont",2017-11-07,Tuesday,4,14:10,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Wednesday Week 3,Thickwood,Calder House School,"Calder House School, Thickwood",2017-11-29,Wednesday,4,14:00,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 4,Tilshead,Near the Church,"Near the Church, Tilshead",2017-11-10,Friday,4,10:55,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 2,Tockenham,Church,"Church, Tockenham",2017-11-23,Thursday,4,11:45,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
South,Tuesday Week 2,Tollard Royal,The Pond,"The Pond, Tollard Royal",2017-11-21,Tuesday,4,15:10,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
