Route,Stop,Community,Address,Easting,Northing,Date,Day,Frequency,Start,End,Timetable
A,Lower Holworthy,Brompton Regis,"Lower Holworthy, Brompton Regis, TA22 9NY",298068,131506,2017-01-10,Tuesday,4,9:40,9:55,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Wimbleball Lake,Brompton Regis,"Wimbleball Lake, Brompton Regis, TA22 9NU",296502,130651,2017-01-10,Tuesday,4,10:05,10:20,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,George Inn,Brompton Regis,"George Inn, Brompton Regis, TA22 9NL",295069,131482,2017-01-10,Tuesday,4,10:30,10:50,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Combeshead,Brompton Regis,"Combeshead, Brompton Regis, TA22 9LE",293991,133044,2017-01-10,Tuesday,4,11:00,11:15,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Week Lane,Bridgetown (Exe Valley),"Week Lane, Bridgetown (Exe Valley), TA22 9JN",292235,133135,2017-01-10,Tuesday,4,11:25,11:45,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Hawthorn Bungalow,Withypool,"Hawthorn Bungalow, Withypool, TA24 7QY",284413,135335,2017-01-10,Tuesday,4,12:05,12:25,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Winsford Centre,Winsford,"Winsford Centre, Winsford, TA24 7JQ",290509,134990,2017-01-10,Tuesday,4,12:40,13:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
A,Watchet Childrenâ€™s Centre,Watchet,"Watchet Childrenâ€™s Centre, Watchet, TA23 0EX",307747,142818,2017-01-10,Tuesday,4,13:50,14:10,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
B,School Lane Playgroup,Templecombe,"School Lane Playgroup, Templecombe, BA8 0HP",370901,122648,2017-01-11,Wednesday,4,10:15,10:30,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
B,North Road,Charlton Horethorne,"North Road, Charlton Horethorne, DT9 4NS",366286,123645,2017-01-11,Wednesday,4,10:45,11:05,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
