Stop,Community,Postcode,Start,End,Timetable,Date,Day,Frequency,Timetable
Lower Holworthy,Brompton Regis,TA22 9NY,9.40,9.55,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Wimbleball Lake,Brompton Regis,TA22 9NU,10:05,10:20,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
George Inn,Brompton Regis,TA22 9NL,10:30,10:50,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Combeshead,Brompton Regis,TA22 9LE,11:00,11:15,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Week Lane,Bridgetown (Exe Valley),TA22 9JN,11.25,11:45,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Hawthorn Bungalow,Withypool,TA24 7QY,12:05,12:25,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Winsford Centre,Winsford,TA24 7JQ,12:40,13:10,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Watchet Children’s Centre,Watchet,TA23 0EX,13:50,14:10,A,10/01/2017,Tuesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
School Lane Playgroup,Templecombe,BA8 0HP,10:15,10:30,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
North Road,Charlton Horethorne,DT9 4NS,10.45,11:05,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
South Barrow Church,South Barrow,BA22 7LN,11:20,11:40,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Road to Rimpton House,Rimpton,BA22 8AQ,12:00,12:30,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Hales Meadow,Mudford,BA21 5TA,13:15,13:30,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Fore Street Middle Farmhouse,West Camel,BA22 7QW,13:45,14:05,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Ilchester Car park,Ilchester,BA22 8LX,14:25,14:55,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Ilchester School,Ilchester,BA22 8JP,15:00,15:25,B,11/01/2017,Wednesday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Barton Road Fairmile,Butleigh,BA6 8TH,9:45,10:00,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Butleigh School,Butleigh,BA6 8SX,10:05,10:35,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Greyhound Inn,Baltonsborough,BA6 8QN,10:55,11:05,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Baltonsborough Playgroup,Baltonsborough,BA6 8PN,11:10,11.30,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Baltonsborough School,Baltonsborough,BA6 8PN,11:30,12:00,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Middle Farm,Southwood,BA6 8PG,12:40,12:55,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Main Street (Telephone box),Barton St David,TA11 6BX,13:05,13:25,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Queen Street Layby,Keinton Mandeville,TA11 6EH,13:35,13:50,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Baker Street (Bus shelter),Babcary,TA11 7DU,14:00,14:15,C,12/01/2017,Thursday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Timberscombe School & Playgroup,Timberscombe,TA24 7TY,10:00,10:30,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Cutcombe School,Cutcombe,TA24 7DZ,10:45,11:15,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Higher Park Lane,Cutcombe,TA24 7AG,11:25,11:45,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Exford School,Exford,TA24 7PP,12:00,12:30,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Exford Centre,Exford,TA24 7PU,13:10,13:30,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Blagdon View,Wheddon Cross,TA24 7ED,13:40,14:00,D,13/01/2017,Friday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Nine Barrows Corner,Priddy,BA5 3BH 10.00 – 10:30,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Priddy School Playgroup,Priddy,BA5 3BE,10:35,10:55,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
West Horrington School,West Horrington,BA5 3EB,11:15,12:00,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Central Car Park,Wedmore,BS28 4AN,13:10,14:10,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Little Owls (Childcare),Wedmore,BS28 4SA,14:15,14:30,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Honeycombe House,Bagley,BS28 4TD,14:40,15:00,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
Westham Farm,Westham,BS28 4UR,15:15,15:30,E,16/01/2016,Monday,4,http://www.somerset.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=118030
