Mobile,Route,Community,Stop,Address,Longitude,Latitude,Date,Day,Frequency,Start,End,Timetable
South,Thursday Week 1,Eyres Drive,Alderbury,"Eyres Drive, Alderbury",-1.723543,51.03884,2017-11-16,Thursday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Thursday Week 1,School,Alderbury,"School, Alderbury",-1.739558,51.041243,2017-11-16,Thursday,4,13:45,14:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/35
South,Saturday Week 1,Village Hall (fortnightly stop),Alderbury,"Village Hall (fortnightly stop), Alderbury",-1.728148,51.039871,2017-11-18,Saturday,4,09:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Saturday Week 3,Village Hall (fortnightly stop),Alderbury,"Village Hall (fortnightly stop), Alderbury",-1.728148,51.039871,2017-12-02,Saturday,4,09:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Friday Week 2,Village Hall,All Cannings,"Village Hall, All Cannings",-1.898757,51.355998,2017-11-24,Friday,4,15:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
South,Thursday Week 3,The Maypole,Ansty,"The Maypole, Ansty",-2.057019,51.187357,2017-11-30,Thursday,4,11:15,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Wednesday Week 4,Bus stop,Ashton Common,"Bus stop, Ashton Common",-2.15323,51.322593,2017-11-08,Wednesday,4,15:45,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Friday Week 1,Village Hall (fortnightly stop),Ashton Keynes,"Village Hall (fortnightly stop), Ashton Keynes",-1.934565,51.644569,2017-11-17,Friday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Village Hall (fortnightly stop),Ashton Keynes,"Village Hall (fortnightly stop), Ashton Keynes",-1.934565,51.644569,2017-12-01,Friday,4,14:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 1,Mead Park,Atworth,"Mead Park, Atworth",-2.193474,51.392875,2017-11-14,Tuesday,4,09:45,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Tuesday Week 3,Caravan Park,Avebury,"Caravan Park, Avebury",-1.85979,51.42777,2017-11-28,Tuesday,4,14:30,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Tuesday Week 3,High Street,Avebury,"High Street, Avebury",-1.856848,51.428114,2017-11-28,Tuesday,4,13:55,14:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
North,Tuesday Week 3,Bungalows,Avebury Trusloe,"Bungalows, Avebury Trusloe",-1.867166,51.425124,2017-11-28,Tuesday,4,12:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Tuesday Week 4,St Martin’s Close,Barford St Martin,"St Martin’s Close, Barford St Martin",-1.92517,51.085898,2017-11-07,Tuesday,4,16:15,16:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 4,"Ermin Street, outside School",Baydon,"Ermin Street, outside School, Baydon",-2.003677,51.445796,2017-11-09,Thursday,4,10:50,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,Limberstone,Beechingstoke,"Limberstone, Beechingstoke",-1.878362,51.331607,2017-11-13,Monday,4,11:50,12:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Thursday Week 3,Talbot Inn,Berwick St John,"Talbot Inn, Berwick St John",-2.076224,51.000242,2017-11-30,Thursday,4,09:50,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
South,Tuesday Week 1,Busy Bees Nursery,Bishopdown,"Busy Bees Nursery, Bishopdown",-1.783745,51.08382,2017-11-14,Tuesday,4,09:55,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/33
South,Saturday Week 3,Pavilion,Bishopdown Farm,"Pavilion, Bishopdown Farm",-1.783745,51.08382,2017-12-02,Saturday,4,15:20,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Tuesday Week 3,The Street,Bishops Cannings,"The Street, Bishops Cannings",-1.945733,51.377175,2017-11-28,Tuesday,4,09:30,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Wednesday Week 4,The Styles,Bishopstone,"The Styles, Bishopstone",-1.647498,51.550764,2017-11-08,Wednesday,4,11:30,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Friday Week 3,Telephone Box,Boscombe/Allington,"Telephone Box, Boscombe/Allington",-1.808076,51.586451,2017-12-01,Friday,4,10:45,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Wednesday Week 4,Village Hall,Bowerchalke,"Village Hall, Bowerchalke",-1.967691,51.012296,2017-11-08,Wednesday,4,12:40,12:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Wednesday Week 4,The Duke Pub,Bratton,"The Duke Pub, Bratton",-2.123079,51.271096,2017-11-08,Wednesday,4,10:40,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Thursday Week 2,Little Foxes,Brinkworth,"Little Foxes, Brinkworth",-1.912497,51.533186,2017-11-23,Thursday,4,09:45,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Thursday Week 2,Village Hall,Brinkworth,"Village Hall, Brinkworth",-1.912497,51.533186,2017-11-23,Thursday,4,10:50,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
South,Wednesday Week 4,Shelter Barn,Britford,"Shelter Barn, Britford",-1.790957,51.04232,2017-11-08,Wednesday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 3,Village Hall,Broad Hinton,"Village Hall, Broad Hinton",-1.847196,51.487821,2017-11-28,Tuesday,4,15:15,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Wednesday Week 4,Church Car Park,Broadchalke,"Church Car Park, Broadchalke",-1.901336,51.032939,2017-11-08,Wednesday,4,15:05,15:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Wednesday Week 4,Knighton Road,Broadchalke,"Knighton Road, Broadchalke",-1.92755,51.02692,2017-11-08,Wednesday,4,12:00,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Wednesday Week 4,School,Broadchalke,"School, Broadchalke",-1.901336,51.032939,2017-11-08,Wednesday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Saturday Week 4,Highfield Road,Bromham,"Highfield Road, Bromham",-2.048269,51.388471,2017-11-11,Saturday,4,15:20,16:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Saturday Week 4,The Greyhound,Bromham,"The Greyhound, Bromham",-2.053408,51.386585,2017-11-11,Saturday,4,14:40,15:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Saturday Week 4,Westbrook,Bromham,"Westbrook, Bromham",-2.065745,51.390165,2017-11-11,Saturday,4,13:45,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
North,Tuesday Week 1,The Fox Pub,Broughton Gifford,"The Fox Pub, Broughton Gifford",-2.17496,51.372029,2017-11-14,Tuesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Monday Week 1,The Well,Bulkington,"The Well, Bulkington",-2.082674,51.322071,2017-11-13,Monday,4,11:05,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
South,Wednesday Week 2,Taskers Lane lay-by,Burbage,"Taskers Lane lay-by, Burbage",-1.669619,51.355669,2017-11-22,Wednesday,4,12:05,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Wednesday Week 2,The Sprays,Burbage,"The Sprays, Burbage",-1.669705,51.348325,2017-11-22,Wednesday,4,11:35,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Wednesday Week 2,Village Hall,Burbage,"Village Hall, Burbage",-1.665934,51.349081,2017-11-22,Wednesday,4,10:30,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
North,Saturday Week 2,Green near garage,Cadley,"Green near garage, Cadley",-1.777223,51.581287,2017-11-25,Saturday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Tuesday Week 4,By Market Cross,Castle Combe,"By Market Cross, Castle Combe",-2.229469,51.492479,2017-11-07,Tuesday,4,15:15,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Wednesday Week 2,School (fortnightly stop),Chapmanslade,"School (fortnightly stop), Chapmanslade",-2.251093,51.229682,2017-11-22,Wednesday,4,13:30,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,School (fortnightly stop),Chapmanslade,"School (fortnightly stop), Chapmanslade",-2.251093,51.229682,2017-11-08,Wednesday,4,13:30,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Monday Week 3,Church,Cherhill,"Church, Cherhill",-1.946169,51.431548,2017-11-27,Monday,4,12:15,12:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Monday Week 3,Olivers Hill,Cherhill,"Olivers Hill, Cherhill",-1.955976,51.429285,2017-11-27,Monday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Tuesday Week 4,Hops Close,Chilmark,"Hops Close, Chilmark",-2.04661,51.0932,2017-11-07,Tuesday,4,14:45,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 4,Stagg Hill,Chilton Foliat,"Stagg Hill, Chilton Foliat",-1.538899,51.432787,2017-11-09,Thursday,4,13:00,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Monday Week 1,The Street,Chirton,"The Street, Chirton",-2.20463,51.307735,2017-11-13,Monday,4,13:35,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
South,Friday Week 4,Car Park near the Church,Chitterne,"Car Park near the Church, Chitterne",-1.935925,51.195978,2017-11-10,Friday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Thursday Week 1,Village Hall,Christian Malford,"Village Hall, Christian Malford",-2.033813,51.517442,2017-11-16,Thursday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 2,Pond,Chute Cadley,"Pond, Chute Cadley",-1.550167,51.294524,2017-11-24,Friday,4,10:55,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 2,Bus Shelter,Chute Forest,"Bus Shelter, Chute Forest",-1.554265,51.262965,2017-11-24,Friday,4,10:15,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Friday Week 4,School,Codford,"School, Codford",-2.04541,51.158995,2017-11-10,Friday,4,13:10,14:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
North,Wednesday Week 1,Fosseway Close,Colerne,"Fosseway Close, Colerne",-2.265268,51.43914,2017-11-15,Wednesday,4,09:45,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 1,Near School (fortnightly stop),Colerne,"Near School (fortnightly stop), Colerne",-2.260259,51.441631,2017-11-15,Wednesday,4,10:30,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Near School (fortnightly stop),Colerne,"Near School (fortnightly stop), Colerne",-2.260259,51.441631,2017-11-29,Wednesday,4,10:30,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 1,New School,Collingbourne Ducis,"New School, Collingbourne Ducis",-1.645069,51.275413,2017-11-17,Friday,4,11:50,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,West Farm,Collingbourne Ducis,"West Farm, Collingbourne Ducis",-1.650713,51.285637,2017-11-17,Friday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,Aughton,Collingbourne Kingston,"Aughton, Collingbourne Kingston",-1.665178,51.304912,2017-11-17,Friday,4,13:55,14:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
North,Monday Week 3,Briar Leaze,Compton Bassett,"Briar Leaze, Compton Bassett",-1.947446,51.4498,2017-11-27,Monday,4,11:00,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Friday Week 1,The Dawneys,Crudwell,"The Dawneys, Crudwell",-2.08716,51.602151,2017-11-17,Friday,4,11:30,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,School,Dauntsey,"School, Dauntsey",-2.009619,51.521563,2017-12-01,Friday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Tuesday Week 1,Lansdowne Hall,Derry Hill,"Lansdowne Hall, Derry Hill",-2.056505,51.437598,2017-11-14,Tuesday,4,14:30,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Wednesday Week 4,Lyes Grove,Dilton Marsh,"Lyes Grove, Dilton Marsh",-2.215397,51.246832,2017-11-08,Wednesday,4,14:45,15:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Tuesday Week 2,School (fortnightly stop),Dinton,"School (fortnightly stop), Dinton",-1.984681,51.081638,2017-11-21,Tuesday,4,13:10,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
South,Tuesday Week 4,School (fortnightly stop),Dinton,"School (fortnightly stop), Dinton",-1.984681,51.081638,2017-11-07,Tuesday,4,13:10,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Tuesday Week 4,Spracklands,Dinton,"Spracklands, Dinton",-1.977179,51.083783,2017-11-07,Tuesday,4,15:40,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Saturday Week 1,Bus Turning Area (fortnightly stop),East Gomeldon,"Bus Turning Area (fortnightly stop), East Gomeldon",-1.727119,51.118874,2017-11-18,Saturday,4,14:30,15:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Friday Week 3,Bus Turning Area (fortnightly stop),East Gomeldon,"Bus Turning Area (fortnightly stop), East Gomeldon",-1.727119,51.118874,2017-12-01,Friday,4,14:45,15:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Friday Week 2,Coronation Hall,East Grafton,"Coronation Hall, East Grafton",-1.658915,51.345173,2017-11-24,Friday,4,11:55,12:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
South,Tuesday Week 3,The Pond,East Grimstead,"The Pond, East Grimstead",-1.679576,51.048587,2017-11-28,Tuesday,4,11:55,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Saturday Week 2,Burford Road,East Harnham,"Burford Road, East Harnham",-1.790815,51.057034,2017-11-25,Saturday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Tuesday Week 2,Seymour Arms Pub,East Knoyle,"Seymour Arms Pub, East Knoyle",-2.17136,51.080803,2017-11-21,Tuesday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
North,Wednesday Week 4,Post box,Edington,"Post box, Edington",-1.830784,51.55673,2017-11-08,Wednesday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
South,Friday Week 1,Water Lane,Enford,"Water Lane, Enford",-1.778471,51.265124,2017-11-17,Friday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 1,High Trees,Everleigh,"High Trees, Everleigh",-1.660343,51.282437,2017-11-17,Friday,4,14:45,15:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
